Date of Publication,Quarter_From,Quarter_To,Year,Region,Sex,Age,Total,Total economically active,Total in employment,Unemployed,Economically inactive,Economic activity rate (%),Employment rate (%),"Unemployment
rate (%)",Economic inactivity rate (%)
Jul-Sep,Jul,Sep,2022,London,Male,All aged 16 to 64,3113753,2606229,2509753,96476,507524,83.7,80.6,3.7,16.3
Jul-Sep,Jul,Sep,2022,London,Female,All aged 16 to 64,3048465,2236554,2129070,107485,811911,73.4,69.8,4.8,26.6
Jul-Sep,Jul,Sep,2022,South East,Male,All aged 16 to 64,2792741,2347447,2274877,72569,445294,84.1,81.5,3.1,15.9
Jul-Sep,Jul,Sep,2022,South East,Female,All aged 16 to 64,2822420,2180514,2113526,66988,641906,77.3,74.9,3.1,22.7
Jul-Sep,Jul,Sep,2022,South West,Male,All aged 16 to 64,1665412,1391467,1348273,43194,273945,83.6,81.0,3.1,16.4
Jul-Sep,Jul,Sep,2022,South West,Female,All aged 16 to 64,1688322,1326770,1299713,27057,361552,78.6,77.0,2.0,21.4
Jul-Sep,Jul,Sep,2022,England,Male,All aged 16 to 64,17486421,14436208,13905355,530853,3050213,82.6,79.5,3.7,17.4
Jul-Sep,Jul,Sep,2022,England,Female,All aged 16 to 64,17566002,13171482,12680535,490948,4394520,75.0,72.2,3.7,25.0
Jul-Sep,Jul,Sep,2022,Wales,Male,All aged 16 to 64,953927,760395,730938,29458,193532,79.7,76.6,3.9,20.3
Jul-Sep,Jul,Sep,2022,Wales,Female,All aged 16 to 64,958316,675514,652562,22952,282802,70.5,68.1,3.4,29.5
Jul-Sep,Jul,Sep,2022,Scotland,Male,All aged 16 to 64,1682987,1327831,1268691,59140,355156,78.9,75.4,4.5,21.1
Jul-Sep,Jul,Sep,2022,Scotland,Female,All aged 16 to 64,1761767,1363747,1325135,38612,398020,77.4,75.2,2.8,22.6
Jul-Sep,Jul,Sep,2022,Northern Ireland,Male,All aged 16 to 64,579108,441126,423922,17204,137982,76.2,73.2,3.9,23.8
Jun-Aug,Jul,Sep,2022,Northern Ireland,Female,All aged 16 to 64,590898,404572,395759,8813,186326,68.5,67.0,2.2,31.5
Jun-Aug,Jun,Aug,2021,North East,Male,All aged 16 to 64,801903,624945,583559,41387,176958,77.9,72.8,6.6,22.1
Jun-Aug,Jun,Aug,2021,North East,Female,All aged 16 to 64,822437,598771,573564,25206,223666,72.8,69.7,4.2,27.2
Jun-Aug,Jun,Aug,2021,Yorkshire and The Humber,Male,All aged 16 to 64,1680200,1354868,1285641,69228,325332,80.6,76.5,5.1,19.4
Jun-Aug,Jun,Aug,2021,Yorkshire and The Humber,Female,All aged 16 to 64,1691479,1216855,1163545,53309,474624,71.9,68.8,4.4,28.1
Jun-Aug,Jun,Aug,2021,East Midlands,Male,All aged 16 to 64,1466850,1191517,1135808,55709,275333,81.2,77.4,4.7,18.8
Jun-Aug,Jun,Aug,2021,East Midlands,Female,All aged 16 to 64,1481377,1130388,1083153,47235,350989,76.3,73.1,4.2,23.7
Jun-Aug,Jun,Aug,2021,West Midland,Male,All aged 16 to 64,1813128,1505584,1434383,71201,307544,83.0,79.1,4.7,17.0
Jun-Aug,Jun,Aug,2021,West Midland,Female,All aged 16 to 64,1809585,1338618,1266274,72343,470967,74.0,70.0,5.4,26.0
Jun-Aug,Jun,Aug,2021,East of England,Male,All aged 16 to 64,1884322,1618211,1564601,53610,266111,85.9,83.0,3.3,14.1
Jun-Aug,Jun,Aug,2021,East of England,Female,All aged 16 to 64,1906729,1493177,1438072,55105,413552,78.3,75.4,3.7,21.7
Jun-Aug,Jun,Aug,2021,London,Male,All aged 16 to 64,3101341,2578986,2433942,145044,522355,83.2,78.5,5.6,16.8
Jun-Aug,Jun,Aug,2021,London,Female,All aged 16 to 64,3036313,2308758,2169360,139399,727555,76.0,71.4,6.0,24.0
Jun-Aug,Jun,Aug,2021,South East,Male,All aged 16 to 64,2781630,2385998,2283856,102142,395632,85.8,82.1,4.3,14.2
Jun-Aug,Jun,Aug,2021,South East,Female,All aged 16 to 64,2811143,2178310,2086419,91891,632833,77.5,74.2,4.2,22.5
Jun-Aug,Jun,Aug,2021,South West,Male,All aged 16 to 64,1658841,1390250,1339431,50819,268591,83.8,80.7,3.7,16.2
Jun-Aug,Jun,Aug,2021,South West,Female,All aged 16 to 64,1681660,1302483,1259058,43425,379177,77.5,74.9,3.3,22.5
Jun-Aug,Jun,Aug,2021,England,Male,All aged 16 to 64,17416910,14436282,13757100,679182,2980628,82.9,79.0,4.7,17.1
Jun-Aug,Jun,Aug,2021,England,Female,All aged 16 to 64,17496005,13220694,12641135,579559,4275311,75.6,72.3,4.4,24.4
Jun-Aug,Jun,Aug,2021,Wales,Male,All aged 16 to 64,950062,770770,738063,32707,179292,81.1,77.7,4.2,18.9
Jun-Aug,Jun,Aug,2021,Wales,Female,All aged 16 to 64,954549,701528,671718,29810,253021,73.5,70.4,4.2,26.5
Jun-Aug,Jun,Aug,2021,Scotland,Male,All aged 16 to 64,1676271,1344362,1279394,64968,331909,80.2,76.3,4.8,19.8
Jun-Aug,Jun,Aug,2021,Scotland,Female,All aged 16 to 64,1754714,1324524,1268894,55630,430190,75.5,72.3,4.2,24.5
Jun-Aug,Jun,Aug,2021,Northern Ireland,Male,All aged 16 to 64,576823,427301,401842,25460,149522,74.1,69.7,6.0,25.9
Jun-Aug,Jun,Aug,2021,Northern Ireland,Female,All aged 16 to 64,588615,415532,402542,12989,173083,70.6,68.4,3.1,29.4
Jun-Aug,Jun,Aug,2022,North East,Male,All aged 16 to 64,804794,625900,599194,26706,178894,77.8,74.5,4.3,22.2
Jun-Aug,Jun,Aug,2022,North East,Female,All aged 16 to 64,825432,589194,561022,28172,236238,71.4,68.0,4.8,28.6
Jun-Aug,Jun,Aug,2022,Yorkshire and The Humber,Male,All aged 16 to 64,1686277,1361465,1309661,51804,324812,80.7,77.7,3.8,19.3
Jun-Aug,Jun,Aug,2022,Yorkshire and The Humber,Female,All aged 16 to 64,1697624,1258449,1206558,51890,439175,74.1,71.1,4.1,25.9
Jun-Aug,Jun,Aug,2022,East Midlands,Male,All aged 16 to 64,1472148,1200114,1160863,39251,272034,81.5,78.9,3.3,18.5
Jun-Aug,Jun,Aug,2022,East Midlands,Female,All aged 16 to 64,1486671,1088887,1056863,32025,397784,73.2,71.1,2.9,26.8
Jun-Aug,Jun,Aug,2022,West Midland,Male,All aged 16 to 64,1819679,1505921,1427989,77932,313758,82.8,78.5,5.2,17.2
Jun-Aug,Jun,Aug,2022,West Midland,Female,All aged 16 to 64,1816108,1346326,1284105,62221,469782,74.1,70.7,4.6,25.9
Jun-Aug,Jun,Aug,2022,East of England,Male,All aged 16 to 64,1891085,1608262,1566805,41457,282823,85.0,82.9,2.6,15.0
Jun-Aug,Jun,Aug,2022,East of England,Female,All aged 16 to 64,1913615,1491623,1444364,47259,421992,77.9,75.5,3.2,22.1
Jun-Aug,Jun,Aug,2022,London,Male,All aged 16 to 64,3112487,2593563,2499326,94238,518924,83.3,80.3,3.6,16.7
Jun-Aug,Jun,Aug,2022,London,Female,All aged 16 to 64,3047253,2232472,2126738,105734,814781,73.3,69.8,4.7,26.7
Jun-Aug,Jun,Aug,2022,South East,Male,All aged 16 to 64,2791701,2340540,2262109,78430,451161,83.8,81.0,3.4,16.2
Jun-Aug,Jun,Aug,2022,South East,Female,All aged 16 to 64,2821314,2192753,2128127,64626,628561,77.7,75.4,2.9,22.3
Jun-Aug,Jun,Aug,2022,South West,Male,All aged 16 to 64,1664789,1381214,1334853,46362,283575,83.0,80.2,3.4,17.0
Jun-Aug,Jun,Aug,2022,South West,Female,All aged 16 to 64,1687656,1330055,1301808,28247,357601,78.8,77.1,2.1,21.2
Jun-Aug,Jun,Aug,2022,England,Male,All aged 16 to 64,17479722,14399074,13881545,517528,3080648,82.4,79.4,3.6,17.6
Jun-Aug,Jun,Aug,2022,England,Female,All aged 16 to 64,17559073,13191669,12710754,480915,4367404,75.1,72.4,3.6,24.9
Jun-Aug,Jun,Aug,2022,Wales,Male,All aged 16 to 64,953505,753472,727410,26062,200033,79.0,76.3,3.5,21.0
Jun-Aug,Jun,Aug,2022,Wales,Female,All aged 16 to 64,957961,674060,651411,22650,283901,70.4,68.0,3.4,29.6
Jun-Aug,Jun,Aug,2022,Scotland,Male,All aged 16 to 64,1682328,1347196,1291121,56075,335132,80.1,76.7,4.2,19.9
Jun-Aug,Jun,Aug,2022,Scotland,Female,All aged 16 to 64,1761069,1354032,1319290,34742,407037,76.9,74.9,2.6,23.1
Jun-Aug,Jun,Aug,2022,Northern Ireland,Male,All aged 16 to 64,578909,440317,424707,15610,138592,76.1,73.4,3.5,23.9
Mar-May,Jun,Aug,2022,Northern Ireland,Female,All aged 16 to 64,590703,404049,393293,10756,186654,68.4,66.6,2.7,31.6
Mar-May,Mar,May,2021,North East,Male,All aged 16 to 64,801159,637993,592150,45843,163166,79.6,73.9,7.2,20.4
Mar-May,Mar,May,2021,North East,Female,All aged 16 to 64,821673,597515,571780,25735,224158,72.7,69.6,4.3,27.3
Mar-May,Mar,May,2021,Yorkshire and The Humber,Male,All aged 16 to 64,1677820,1360497,1288579,71918,317323,81.1,76.8,5.3,18.9
Mar-May,Mar,May,2021,Yorkshire and The Humber,Female,All aged 16 to 64,1689141,1221982,1160880,61102,467159,72.3,68.7,5.0,27.7
Mar-May,Mar,May,2021,East Midlands,Male,All aged 16 to 64,1464316,1196989,1132892,64098,267327,81.7,77.4,5.4,18.3
Mar-May,Mar,May,2021,East Midlands,Female,All aged 16 to 64,1478791,1119197,1067112,52085,359594,75.7,72.2,4.7,24.3
Mar-May,Mar,May,2021,West Midland,Male,All aged 16 to 64,1809524,1502443,1409290,93153,307081,83.0,77.9,6.2,17.0
Mar-May,Mar,May,2021,West Midland,Female,All aged 16 to 64,1806182,1342683,1267739,74944,463499,74.3,70.2,5.6,25.7
Mar-May,Mar,May,2021,East of England,Male,All aged 16 to 64,1880390,1599101,1534402,64699,281289,85.0,81.6,4.0,15.0
Mar-May,Mar,May,2021,East of England,Female,All aged 16 to 64,1902857,1471378,1411752,59626,431479,77.3,74.2,4.1,22.7
Mar-May,Mar,May,2021,London,Male,All aged 16 to 64,3092877,2567180,2413150,154031,525697,83.0,78.0,6.0,17.0
Mar-May,Mar,May,2021,London,Female,All aged 16 to 64,3029246,2319731,2154108,165623,709515,76.6,71.1,7.1,23.4
Mar-May,Mar,May,2021,South East,Male,All aged 16 to 64,2776307,2383187,2273233,109953,393120,85.8,81.9,4.6,14.2
Mar-May,Mar,May,2021,South East,Female,All aged 16 to 64,2805988,2148446,2065540,82907,657542,76.6,73.6,3.9,23.4
Mar-May,Mar,May,2021,South West,Male,All aged 16 to 64,1655776,1381032,1332934,48099,274744,83.4,80.5,3.5,16.6
Mar-May,Mar,May,2021,South West,Female,All aged 16 to 64,1678653,1286964,1236162,50802,391689,76.7,73.6,3.9,23.3
Mar-May,Mar,May,2021,England,Male,All aged 16 to 64,17383668,14381763,13652808,728954,3001905,82.7,78.5,5.1,17.3
Mar-May,Mar,May,2021,England,Female,All aged 16 to 64,17464736,13196099,12529855,666244,4268637,75.6,71.7,5.0,24.4
Mar-May,Mar,May,2021,Wales,Male,All aged 16 to 64,948681,766429,728041,38388,182252,80.8,76.7,5.0,19.2
Mar-May,Mar,May,2021,Wales,Female,All aged 16 to 64,953300,691843,671930,19913,261457,72.6,70.5,2.9,27.4
Mar-May,Mar,May,2021,Scotland,Male,All aged 16 to 64,1674024,1332330,1263638,68692,341694,79.6,75.5,5.2,20.4
Mar-May,Mar,May,2021,Scotland,Female,All aged 16 to 64,1752498,1321819,1271799,50020,430679,75.4,72.6,3.8,24.6
Mar-May,Mar,May,2021,Northern Ireland,Male,All aged 16 to 64,575951,418749,395197,23551,157202,72.7,68.6,5.6,27.3
Mar-May,Mar,May,2021,Northern Ireland,Female,All aged 16 to 64,587741,400831,389181,11650,186910,68.2,66.2,2.9,31.8
Mar-May,Mar,May,2022,North East,Male,All aged 16 to 64,802909,627362,592622,34740,175547,78.1,73.8,5.5,21.9
Mar-May,Mar,May,2022,North East,Female,All aged 16 to 64,823465,595426,569978,25448,228039,72.3,69.2,4.3,27.7
Mar-May,Mar,May,2022,Yorkshire and The Humber,Male,All aged 16 to 64,1682280,1374535,1311879,62656,307745,81.7,78.0,4.6,18.3
Mar-May,Mar,May,2022,Yorkshire and The Humber,Female,All aged 16 to 64,1693622,1257700,1200270,57430,435922,74.3,70.9,4.6,25.7
Mar-May,Mar,May,2022,East Midlands,Male,All aged 16 to 64,1468730,1202578,1173899,28679,266152,81.9,79.9,2.4,18.1
Mar-May,Mar,May,2022,East Midlands,Female,All aged 16 to 64,1483227,1122495,1093670,28824,360732,75.7,73.7,2.6,24.3
Mar-May,Mar,May,2022,West Midland,Male,All aged 16 to 64,1815406,1501180,1430597,70583,314226,82.7,78.8,4.7,17.3
Mar-May,Mar,May,2022,West Midland,Female,All aged 16 to 64,1811821,1354567,1292773,61794,457254,74.8,71.4,4.6,25.2
Mar-May,Mar,May,2022,East of England,Male,All aged 16 to 64,1886637,1600167,1546794,53373,286470,84.8,82.0,3.3,15.2
Mar-May,Mar,May,2022,East of England,Female,All aged 16 to 64,1909119,1482591,1425830,56761,426528,77.7,74.7,3.8,22.3
Mar-May,Mar,May,2022,London,Male,All aged 16 to 64,3105181,2623203,2503729,119474,481978,84.5,80.6,4.6,15.5
Mar-May,Mar,May,2022,London,Female,All aged 16 to 64,3040144,2247790,2130174,117616,792354,73.9,70.1,5.2,26.1
Mar-May,Mar,May,2022,South East,Male,All aged 16 to 64,2785127,2352465,2276613,75852,432662,84.5,81.7,3.2,15.5
Mar-May,Mar,May,2022,South East,Female,All aged 16 to 64,2814661,2177445,2117129,60316,637216,77.4,75.2,2.8,22.6
Mar-May,Mar,May,2022,South West,Male,All aged 16 to 64,1660885,1389388,1344292,45097,271497,83.7,80.9,3.2,16.3
Mar-May,Mar,May,2022,South West,Female,All aged 16 to 64,1683712,1338305,1307292,31013,345407,79.5,77.6,2.3,20.5
Mar-May,Mar,May,2022,England,Male,All aged 16 to 64,17438636,14481869,13903136,578733,2956767,83.0,79.7,4.0,17.0
Mar-May,Mar,May,2022,England,Female,All aged 16 to 64,17517825,13247533,12741441,506092,4270292,75.6,72.7,3.8,24.4
Mar-May,Mar,May,2022,Wales,Male,All aged 16 to 64,951271,768972,738110,30862,182299,80.8,77.6,4.0,19.2
Mar-May,Mar,May,2022,Wales,Female,All aged 16 to 64,955696,691847,667172,24675,263849,72.4,69.8,3.6,27.6
Mar-May,Mar,May,2022,Scotland,Male,All aged 16 to 64,1678379,1352871,1290608,62263,325508,80.6,76.9,4.6,19.4
Mar-May,Mar,May,2022,Scotland,Female,All aged 16 to 64,1756921,1334762,1300370,34391,422159,76.0,74.0,2.6,24.0
Mar-May,Mar,May,2022,Northern Ireland,Male,All aged 16 to 64,577558,440144,426660,13484,137414,76.2,73.9,3.1,23.8
May-Jul,Mar,May,2022,Northern Ireland,Female,All aged 16 to 64,589328,399796,391003,8793,189532,67.8,66.3,2.2,32.2
May-Jul,May,Jul,2021,North East,Male,All aged 16 to 64,801405,631302,591567,39736,170103,78.8,73.8,6.3,21.2
May-Jul,May,Jul,2021,North East,Female,All aged 16 to 64,821928,597982,574644,23338,223946,72.8,69.9,3.9,27.2
May-Jul,May,Jul,2021,Yorkshire and The Humber,Male,All aged 16 to 64,1679095,1363043,1291454,71589,316052,81.2,76.9,5.3,18.8
May-Jul,May,Jul,2021,Yorkshire and The Humber,Female,All aged 16 to 64,1690414,1225463,1173812,51652,464951,72.5,69.4,4.2,27.5
May-Jul,May,Jul,2021,East Midlands,Male,All aged 16 to 64,1465929,1192849,1135416,57433,273080,81.4,77.5,4.8,18.6
May-Jul,May,Jul,2021,East Midlands,Female,All aged 16 to 64,1480412,1119857,1072218,47639,360555,75.6,72.4,4.3,24.4
May-Jul,May,Jul,2021,West Midland,Male,All aged 16 to 64,1811929,1504138,1419797,84340,307791,83.0,78.4,5.6,17.0
May-Jul,May,Jul,2021,West Midland,Female,All aged 16 to 64,1808371,1333519,1266160,67359,474852,73.7,70.0,5.1,26.3
May-Jul,May,Jul,2021,East of England,Male,All aged 16 to 64,1883108,1609456,1548456,61000,273652,85.5,82.2,3.8,14.5
May-Jul,May,Jul,2021,East of England,Female,All aged 16 to 64,1905514,1487669,1434647,53022,417845,78.1,75.3,3.6,21.9
May-Jul,May,Jul,2021,London,Male,All aged 16 to 64,3099338,2583774,2441723,142051,515564,83.4,78.8,5.5,16.6
May-Jul,May,Jul,2021,London,Female,All aged 16 to 64,3034367,2305861,2154513,151348,728506,76.0,71.0,6.6,24.0
May-Jul,May,Jul,2021,South East,Male,All aged 16 to 64,2779863,2384218,2274295,109923,395645,85.8,81.8,4.6,14.2
May-Jul,May,Jul,2021,South East,Female,All aged 16 to 64,2809400,2169194,2086265,82930,640206,77.2,74.3,3.8,22.8
May-Jul,May,Jul,2021,South West,Male,All aged 16 to 64,1657779,1389120,1340510,48610,268659,83.8,80.9,3.5,16.2
May-Jul,May,Jul,2021,South West,Female,All aged 16 to 64,1680521,1298286,1254861,43425,382235,77.3,74.7,3.3,22.7
May-Jul,May,Jul,2021,England,Male,All aged 16 to 64,17405723,14433486,13729812,703674,2972237,82.9,78.9,4.9,17.1
May-Jul,May,Jul,2021,England,Female,All aged 16 to 64,17484723,13206623,12610166,596457,4278100,75.5,72.1,4.5,24.5
May-Jul,May,Jul,2021,Wales,Male,All aged 16 to 64,949491,773718,739229,34488,175773,81.5,77.9,4.5,18.5
May-Jul,May,Jul,2021,Wales,Female,All aged 16 to 64,953860,709704,678386,31318,244156,74.4,71.1,4.4,25.6
May-Jul,May,Jul,2021,Scotland,Male,All aged 16 to 64,1675210,1338124,1274045,64080,337086,79.9,76.1,4.8,20.1
May-Jul,May,Jul,2021,Scotland,Female,All aged 16 to 64,1753654,1321480,1267483,53997,432174,75.4,72.3,4.1,24.6
May-Jul,May,Jul,2021,Northern Ireland,Male,All aged 16 to 64,576463,424264,397722,26542,152199,73.6,69.0,6.3,26.4
May-Jul,May,Jul,2021,Northern Ireland,Female,All aged 16 to 64,588264,415022,402607,12415,173242,70.6,68.4,3.0,29.4
May-Jul,May,Jul,2022,North East,Male,All aged 16 to 64,804283,628753,600509,28244,175530,78.2,74.7,4.5,21.8
May-Jul,May,Jul,2022,North East,Female,All aged 16 to 64,824915,588136,561566,26571,236779,71.3,68.1,4.5,28.7
May-Jul,May,Jul,2022,Yorkshire and The Humber,Male,All aged 16 to 64,1685172,1365682,1303566,62116,319490,81.0,77.4,4.5,19.0
May-Jul,May,Jul,2022,Yorkshire and The Humber,Female,All aged 16 to 64,1696550,1251057,1195107,55950,445493,73.7,70.4,4.5,26.3
May-Jul,May,Jul,2022,East Midlands,Male,All aged 16 to 64,1471188,1200815,1167271,33544,270373,81.6,79.3,2.8,18.4
May-Jul,May,Jul,2022,East Midlands,Female,All aged 16 to 64,1485699,1108677,1076600,32077,377022,74.6,72.5,2.9,25.4
May-Jul,May,Jul,2022,West Midland,Male,All aged 16 to 64,1818495,1512278,1443931,68347,306217,83.2,79.4,4.5,16.8
May-Jul,May,Jul,2022,West Midland,Female,All aged 16 to 64,1814922,1359186,1292048,67138,455736,74.9,71.2,4.9,25.1
May-Jul,May,Jul,2022,East of England,Male,All aged 16 to 64,1889837,1603172,1555855,47318,286665,84.8,82.3,3.0,15.2
May-Jul,May,Jul,2022,East of England,Female,All aged 16 to 64,1912365,1480213,1433198,47014,432152,77.4,74.9,3.2,22.6
May-Jul,May,Jul,2022,London,Male,All aged 16 to 64,3110521,2590379,2480658,109721,520142,83.3,79.8,4.2,16.7
May-Jul,May,Jul,2022,London,Female,All aged 16 to 64,3045304,2230417,2124450,105968,814887,73.2,69.8,4.8,26.8
May-Jul,May,Jul,2022,South East,Male,All aged 16 to 64,2789877,2345295,2254332,90963,444582,84.1,80.8,3.9,15.9
May-Jul,May,Jul,2022,South East,Female,All aged 16 to 64,2819506,2183063,2111676,71387,636443,77.4,74.9,3.3,22.6
May-Jul,May,Jul,2022,South West,Male,All aged 16 to 64,1663721,1374100,1326019,48081,289621,82.6,79.7,3.5,17.4
May-Jul,May,Jul,2022,South West,Female,All aged 16 to 64,1686597,1323200,1296045,27155,363397,78.5,76.8,2.1,21.5
May-Jul,May,Jul,2022,England,Male,All aged 16 to 64,17468392,14413025,13865528,547498,3055367,82.5,79.4,3.8,17.5
May-Jul,May,Jul,2022,England,Female,All aged 16 to 64,17547812,13179844,12685032,494811,4367968,75.1,72.3,3.8,24.9
May-Jul,May,Jul,2022,Wales,Male,All aged 16 to 64,952917,753141,728035,25107,199776,79.0,76.4,3.3,21.0
May-Jul,May,Jul,2022,Wales,Female,All aged 16 to 64,957357,668626,647976,20650,288731,69.8,67.7,3.1,30.2
May-Jul,May,Jul,2022,Scotland,Male,All aged 16 to 64,1681252,1339406,1284134,55272,341846,79.7,76.4,4.1,20.3
May-Jul,May,Jul,2022,Scotland,Female,All aged 16 to 64,1759945,1332084,1304331,27754,427861,75.7,74.1,2.1,24.3
May-Jul,May,Jul,2022,Northern Ireland,Male,All aged 16 to 64,578536,438044,422154,15890,140492,75.7,73.0,3.6,24.3
Nov-Jan,May,Jul,2022,Northern Ireland,Female,All aged 16 to 64,590315,400898,391404,9495,189417,67.9,66.3,2.4,32.1
Nov-Jan,Nov,Jan,2022,North East,Male,All aged 16 to 64,801822,626255,591246,35008,175567,78.1,73.7,5.6,21.9
Nov-Jan,Nov,Jan,2022,North East,Female,All aged 16 to 64,822362,590757,557304,33453,231605,71.8,67.8,5.7,28.2
Nov-Jan,Nov,Jan,2022,Yorkshire and The Humber,Male,All aged 16 to 64,1680030,1349492,1283949,65543,330538,80.3,76.4,4.9,19.7
Nov-Jan,Nov,Jan,2022,Yorkshire and The Humber,Female,All aged 16 to 64,1691344,1195443,1158129,37314,495901,70.7,68.5,3.1,29.3
Nov-Jan,Nov,Jan,2022,East Midlands,Male,All aged 16 to 64,1466716,1180671,1138292,42378,286045,80.5,77.6,3.6,19.5
Nov-Jan,Nov,Jan,2022,East Midlands,Female,All aged 16 to 64,1481202,1129745,1101446,28299,351457,76.3,74.4,2.5,23.7
Nov-Jan,Nov,Jan,2022,West Midland,Male,All aged 16 to 64,1812917,1524868,1459254,65614,288049,84.1,80.5,4.3,15.9
Nov-Jan,Nov,Jan,2022,West Midland,Female,All aged 16 to 64,1809376,1360278,1281865,78413,449098,75.2,70.8,5.8,24.8
Nov-Jan,Nov,Jan,2022,East of England,Male,All aged 16 to 64,1884082,1597781,1547387,50394,286301,84.8,82.1,3.2,15.2
Nov-Jan,Nov,Jan,2022,East of England,Female,All aged 16 to 64,1906466,1482408,1438452,43956,424058,77.8,75.5,3.0,22.2
Nov-Jan,Nov,Jan,2022,London,Male,All aged 16 to 64,3101008,2626940,2507605,119335,474068,84.7,80.9,4.5,15.3
Nov-Jan,Nov,Jan,2022,London,Female,All aged 16 to 64,3036025,2268014,2137972,130042,768011,74.7,70.4,5.7,25.3
Nov-Jan,Nov,Jan,2022,South East,Male,All aged 16 to 64,2781370,2355998,2251913,104085,425372,84.7,81.0,4.4,15.3
Nov-Jan,Nov,Jan,2022,South East,Female,All aged 16 to 64,2810890,2161271,2091875,69396,649619,76.9,74.4,3.2,23.1
Nov-Jan,Nov,Jan,2022,South West,Male,All aged 16 to 64,1658633,1378290,1337282,41008,280343,83.1,80.6,3.0,16.9
Nov-Jan,Nov,Jan,2022,South West,Female,All aged 16 to 64,1681454,1330791,1293478,37314,350663,79.1,76.9,2.8,20.9
Nov-Jan,Nov,Jan,2022,England,Male,All aged 16 to 64,17415054,14421863,13802253,619610,2993191,82.8,79.3,4.3,17.2
Nov-Jan,Nov,Jan,2022,England,Female,All aged 16 to 64,17494181,13179375,12660156,519219,4314806,75.3,72.4,3.9,24.7
Nov-Jan,Nov,Jan,2022,Wales,Male,All aged 16 to 64,949979,764525,740326,24200,185454,80.5,77.9,3.2,19.5
Nov-Jan,Nov,Jan,2022,Wales,Female,All aged 16 to 64,954420,697671,675887,21784,256749,73.1,70.8,3.1,26.9
Nov-Jan,Nov,Jan,2022,Scotland,Male,All aged 16 to 64,1676110,1341309,1278655,62654,334801,80.0,76.3,4.7,20.0
Nov-Jan,Nov,Jan,2022,Scotland,Female,All aged 16 to 64,1754558,1320143,1277678,42465,434415,75.2,72.8,3.2,24.8
Nov-Jan,Nov,Jan,2022,Northern Ireland,Male,All aged 16 to 64,576783,428893,410517,18376,147890,74.4,71.2,4.3,25.6
Nov-Jan,Nov,Jan,2022,Northern Ireland,Female,All aged 16 to 64,588478,399488,390585,8903,188990,67.9,66.4,2.2,32.1
Nov-Jan,Nov,Jan,2023,North East,Male,All aged 16 to 64,804696,622144,591097,31048,182552,77.3,73.5,5.0,22.7
Nov-Jan,Nov,Jan,2023,North East,Female,All aged 16 to 64,825301,601288,579934,21354,224013,72.9,70.3,3.6,27.1
Nov-Jan,Nov,Jan,2023,Yorkshire and The Humber,Male,All aged 16 to 64,1686003,1375390,1328406,46983,310613,81.6,78.8,3.4,18.4
Nov-Jan,Nov,Jan,2023,Yorkshire and The Humber,Female,All aged 16 to 64,1697368,1237895,1200824,37071,459473,72.9,70.7,3.0,27.1
Nov-Jan,Nov,Jan,2023,East Midlands,Male,All aged 16 to 64,1471963,1226979,1182825,44154,244984,83.4,80.4,3.6,16.6
Nov-Jan,Nov,Jan,2023,East Midlands,Female,All aged 16 to 64,1486469,1070737,1032651,38086,415732,72.0,69.5,3.6,28.0
Nov-Jan,Nov,Jan,2023,West Midland,Male,All aged 16 to 64,1819427,1475009,1405319,69690,344418,81.1,77.2,4.7,18.9
Nov-Jan,Nov,Jan,2023,West Midland,Female,All aged 16 to 64,1815857,1341864,1283603,58261,473993,73.9,70.7,4.3,26.1
Nov-Jan,Nov,Jan,2023,East of England,Male,All aged 16 to 64,1890781,1623960,1571764,52197,266821,85.9,83.1,3.2,14.1
Nov-Jan,Nov,Jan,2023,East of England,Female,All aged 16 to 64,1913312,1475409,1406115,69295,437903,77.1,73.5,4.7,22.9
Nov-Jan,Nov,Jan,2023,London,Male,All aged 16 to 64,3112089,2540384,2453285,87099,571705,81.6,78.8,3.4,18.4
Nov-Jan,Nov,Jan,2023,London,Female,All aged 16 to 64,3046857,2270499,2140306,130194,776358,74.5,70.2,5.7,25.5
Nov-Jan,Nov,Jan,2023,South East,Male,All aged 16 to 64,2791345,2381740,2268940,112800,409605,85.3,81.3,4.7,14.7
Nov-Jan,Nov,Jan,2023,South East,Female,All aged 16 to 64,2820980,2222185,2150822,71363,598795,78.8,76.2,3.2,21.2
Nov-Jan,Nov,Jan,2023,South West,Male,All aged 16 to 64,1664564,1404480,1360302,44177,260084,84.4,81.7,3.1,15.6
Nov-Jan,Nov,Jan,2023,South West,Female,All aged 16 to 64,1687440,1342230,1319199,23031,345210,79.5,78.2,1.7,20.5
Nov-Jan,Nov,Jan,2023,England,Male,All aged 16 to 64,17477300,14463920,13906280,557640,3013380,82.8,79.6,3.9,17.2
Nov-Jan,Nov,Jan,2023,England,Female,All aged 16 to 64,17556663,13220389,12709748,510641,4336274,75.3,72.4,3.9,24.7
Nov-Jan,Nov,Jan,2023,Wales,Male,All aged 16 to 64,953398,774212,740322,33890,179186,81.2,77.7,4.4,18.8
Nov-Jan,Nov,Jan,2023,Wales,Female,All aged 16 to 64,957821,660573,642143,18430,297248,69.0,67.0,2.8,31.0
Nov-Jan,Nov,Jan,2023,Scotland,Male,All aged 16 to 64,1682099,1363493,1311732,51761,318606,81.1,78.0,3.8,18.9
